u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name,width,bridge,access,maxspeed
2383446338,7833168253,0,"[1227695468, 898111671]",cycleway,False,True,6.2922558911409165,"LINESTRING (2.0159453 41.303742, 2.0159751 41.3037282, 2.0160095 41.3037124)",,,,,,
2404835470,11382810695,0,"[1107267313, 839523532]",cycleway,False,False,191.4090523329983,"LINESTRING (2.0225296 41.313096, 2.0224564 41.3130781, 2.0213394 41.3145146)",1,,,,,
3088102802,3088102832,0,839426968,cycleway,False,False,215.85119297340677,"LINESTRING (2.0180366 41.3021043, 2.0179396 41.3021125, 2.0167708 41.303057, 2.0167027 41.3031081, 2.0166299 41.3031588, 2.0165655 41.3031922, 2.0163118 41.3033101, 2.0162342 41.3033468, 2.0161938 41.3034204)",,,,,,
3088102818,8346442454,0,"[839426971, 898113172, 898113171]",cycleway,False,"[False, True]",180.6436709085379,"LINESTRING (2.018522 41.3017102, 2.0184729 41.3016801, 2.0198437 41.3005411, 2.0198836 41.3005697)",,,,,,
3088102832,3088102802,0,839426968,cycleway,False,True,215.85119297340677,"LINESTRING (2.0161938 41.3034204, 2.0162342 41.3033468, 2.0163118 41.3033101, 2.0165655 41.3031922, 2.0166299 41.3031588, 2.0167027 41.3031081, 2.0167708 41.303057, 2.0179396 41.3021125, 2.0180366 41.3021043)",,,,,,
4353309813,7833220378,0,898113170,cycleway,False,True,3.2674324902547456,"LINESTRING (2.0252548 41.3045337, 2.0252798 41.3045111)",,,,,,
4569265245,7833220378,0,839429961,cycleway,False,False,641.6762325561047,"LINESTRING (2.0205931 41.2999469, 2.0207968 41.3000675, 2.0222823 41.3015214, 2.0236263 41.3028487, 2.0248117 41.3040205, 2.0252798 41.3045111)",,,,,,
5346948499,7838957479,0,"[804454808, 804453052, 804456910]",cycleway,False,False,776.1353073260973,"LINESTRING (2.0129692 41.3156926, 2.0128566 41.3156068, 2.0107545 41.3174086, 2.0105191 41.317512, 2.0104494 41.3175569, 2.0095899 41.3170211, 2.0093857 41.3169618, 2.0092841 41.3168838, 2.0089394 41.3171636, 2.008794 41.3172688, 2.0086716 41.3173901, 2.0083228 41.3177179, 2.0081001 41.3177574, 2.0081288 41.317907, 2.0077595 41.3184334, 2.0075591 41.3185299, 2.007532 41.3187717, 2.007234 41.319255, 2.0073514 41.3193039)",,,,,,
5552850365,7524556173,0,898160996,cycleway,False,True,7.676605430739397,"LINESTRING (2.0308465 41.3182152, 2.0307844 41.3181643)",,,,,,
5801467401,9036217405,0,"[1237949831, 918801374, 613019582, 1106666375]",cycleway,False,False,1070.6688556464876,"LINESTRING (2.0530835 41.2786684, 2.0532006 41.278759, 2.053254 41.2787983, 2.0533041 41.2788441, 2.053339 41.2788859, 2.0533793 41.2789334, 2.0534044 41.2789776, 2.0534251 41.2790145, 2.0534436 41.279062, 2.0534512 41.2791078, 2.0534599 41.2791578, 2.0534588 41.2792184, 2.0534469 41.2792937, 2.0534316 41.2793412, 2.0534109 41.2793936, 2.0533858 41.2794386, 2.0533477 41.2794845, 2.0533085 41.2795254, 2.0532475 41.2795828, 2.0531941 41.2796262, 2.0531472 41.2796589, 2.0530905 41.2797089, 2.0530317 41.2797506, 2.0529783 41.2797883, 2.0529206 41.2798366, 2.0528726 41.2798849, 2.0528454 41.2799087, 2.0528181 41.2799406, 2.0527735 41.2799856, 2.0527615 41.2800159, 2.0527364 41.2800495, 2.0527015 41.2800962, 2.0526917 41.2801306, 2.0526721 41.2801732, 2.0526569 41.2802149, 2.0526449 41.2802575, 2.052634 41.2802935, 2.0526351 41.2803459, 2.0526307 41.2803902, 2.0526253 41.2804368, 2.0526274 41.2804892, 2.0526242 41.2805367, 2.052634 41.2805982, 2.0526405 41.2806563, 2.0526405 41.2807226, 2.0526514 41.2807881, 2.0526699 41.2809994, 2.0526906 41.281137, 2.0527233 41.2813908, 2.0527549 41.2816717, 2.0527931 41.2820344, 2.0528214 41.2822252, 2.0528323 41.2823005, 2.0528683 41.2824119, 2.0529206 41.2825789, 2.0529859 41.2827656, 2.05306 41.2829892, 2.0531636 41.2833011, 2.0532867 41.2836573, 2.0533956 41.2839791, 2.0535839 41.2845027, 2.0537243 41.2849277, 2.0538227 41.2852308, 2.0539136 41.2854878, 2.0539439 41.285594, 2.0539808 41.2857183, 2.0540375 41.2859123, 2.0541388 41.2862316, 2.0543055 41.2867376, 2.0545213 41.2873697, 2.0545392 41.2874062, 2.054561 41.2874325, 2.0545932 41.2874571, 2.0546213 41.2874698, 2.054663 41.2874827, 2.0547035 41.2874934, 2.0547425 41.2875073, 2.0547858 41.2875271, 2.0548222 41.2875484, 2.0548555 41.2875703, 2.0548899 41.2875878, 2.0549277 41.2875995, 2.0549792 41.2876071, 2.0550291 41.2876093)",,,,yes,,
5801467401,11387988436,0,"[680290097, 1228047100]",cycleway,False,False,8.270048831990398,"LINESTRING (2.0530835 41.2786684, 2.0530741 41.2786754, 2.053057 41.2786882, 2.0530134 41.2787209)",,,,,,
5801467401,473593975,0,"[839432388, 1228047101]",cycleway,False,False,165.9469348427569,"LINESTRING (2.0530835 41.2786684, 2.0530953 41.2786596, 2.0531042 41.2786529, 2.0530865 41.2786342, 2.0530508 41.2785965, 2.0530186 41.278553, 2.0530049 41.2785296, 2.0529958 41.2785003, 2.0530068 41.2784058, 2.0530035 41.2783442, 2.0529757 41.2782757, 2.0529214 41.2781943, 2.0529018 41.2781397, 2.0529006 41.2780873, 2.0529318 41.2780267, 2.0531914 41.2776722, 2.0534194 41.2773672, 2.0534137 41.2773192)",,,,,,
6315715540,7833168253,0,"[1227695467, 1227695469]",cycleway,False,False,6.137625239728315,"LINESTRING (2.0160721 41.3036835, 2.0160411 41.3036978, 2.0160095 41.3037124)",,,,,,
6315715546,7833168263,0,"[1227695473, 1227695471]",cycleway,False,True,6.342815800944663,"LINESTRING (2.0177752 41.3051217, 2.017749 41.3051459, 2.0177272 41.3051659)",,,,,,
6315715552,7833168263,0,"[1227695472, 898111672]",cycleway,False,False,5.816151465402857,"LINESTRING (2.0176833 41.3052065, 2.0177045 41.3051869, 2.0177272 41.3051659)",,,,,,
