u,v,key,osmid,highway,maxspeed,oneway,ref,reversed,length,lanes,name,width,junction,access,service,bridge,geometry
211320731,10209914031,0,1192906928,tertiary,30,False,C-245,False,21.098637136761813,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0232061 41.3179903, 2.0233843 41.3181248)"
211320731,10209914027,0,1192906928,tertiary,30,False,C-245,True,8.923054035438215,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0232061 41.3179903, 2.0231324 41.3179322)"
211320732,10209849495,0,20026878,tertiary,30,False,C-245,True,3.776695760239822,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0255578 41.3197461, 2.0255258 41.3197221)"
211320732,10209849492,0,20026958,tertiary,30,True,C-245,False,3.8165181970754487,,Carretera de Barcelona,,,,,,"LINESTRING (2.0255578 41.3197461, 2.0255978 41.3197627)"
211321251,10209918932,0,164715306,tertiary,30,True,C-245,False,1.8305206694801894,,,,roundabout,,,,"LINESTRING (2.0258033 41.3198039, 2.0258249 41.3198067)"
211321253,1118733996,0,539861454,tertiary,30,True,C-245,False,7.269459242818053,,,,roundabout,,,,"LINESTRING (2.0260186 41.3199441, 2.0260044 41.3200086)"
211321253,11333547174,0,1222056733,residential,30,True,,False,16.796484407488265,,Carretera de Barcelona,,,,,,"LINESTRING (2.0260186 41.3199441, 2.0261603 41.3200513)"
211321254,1763262444,0,539667094,tertiary,30,True,C-245,False,4.586760083244756,,,,roundabout,,,,"LINESTRING (2.0258483 41.3201131, 2.025794 41.3201069)"
211321256,211323072,0,20026984,tertiary,30,True,C-245,False,12.420175294750004,,Carretera de Barcelona,,,,,,"LINESTRING (2.0256221 41.3199398, 2.0255995 41.3198294)"
211321256,211321904,0,539861455,tertiary,30,True,C-245,False,8.132304154625032,,,,roundabout,,,,"LINESTRING (2.0256221 41.3199398, 2.025654 41.3198707)"
211321896,11333547182,0,20027007,tertiary,30,False,C-245,True,11.098686104129644,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0259714 41.3200496, 2.0260528 41.3201285)"
211321896,1763262443,0,1116048794,tertiary,30,True,C-245,False,7.318649787953162,,,,roundabout,,,,"LINESTRING (2.0259714 41.3200496, 2.0259012 41.320089)"
211321900,11333547178,0,454549842,residential,30,True,,False,3.1148230575804132,,Carrer Josep de Vicenç Foix,,,,,,"LINESTRING (2.0257285 41.3200989, 2.0256997 41.3201167)"
211321900,4558541599,0,539667094,tertiary,30,True,C-245,False,6.134609005300606,,,,roundabout,,,,"LINESTRING (2.0257285 41.3200989, 2.0256681 41.3200675)"
211321904,1763262441,0,539861455,tertiary,30,True,C-245,False,6.922072688347965,,,,roundabout,,,,"LINESTRING (2.025654 41.3198707, 2.0257129 41.3198269)"
211322510,211321251,0,20026958,tertiary,30,True,C-245,False,12.57691312523564,,Carretera de Barcelona,,,,,,"LINESTRING (2.0256534 41.319793, 2.0258033 41.3198039)"
211323072,11333547180,0,20026984,tertiary,30,True,C-245,False,1.5516700603941125,,Carretera de Barcelona,,,,,,"LINESTRING (2.0255995 41.3198294, 2.0255921 41.3198166)"
211323333,9490925656,0,20027007,tertiary,30,False,C-245,False,17.643324533488794,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0262746 41.320294, 2.0261197 41.3201861)"
211323333,8044470343,0,295047602,tertiary,30,False,C-245,False,1.3042304550150967,4,Carretera de Barcelona,12,,,,,"LINESTRING (2.0262746 41.320294, 2.0262855 41.3203024)"
243494580,11397154243,0,1115991586,tertiary,30,False,C-245,False,6.116192214094662,2,Avinguda de la Generalitat,,,,,,"LINESTRING (2.0206153 41.3155682, 2.0206685 41.315606)"
243494580,11397154248,0,1228972046,tertiary,30,False,C-245,True,5.728936842721388,2,Avinguda de la Generalitat,,,,,,"LINESTRING (2.0206153 41.3155682, 2.0205711 41.3155288)"
245491895,9524554975,0,154766498,living_street,10,True,,False,193.1011317026129,,Avinguda d'Olof Palme,5,,,,,"LINESTRING (2.0266836 41.3114399, 2.0252834 41.3128218)"
245491900,2281841757,0,22818685,residential,30,False,,False,20.16167239412867,,Passeig de la Marina,,,,,,"LINESTRING (2.0253685 41.3143504, 2.0251859 41.314469)"
245491900,2143335953,0,22818685,residential,30,False,,True,14.73836112227078,,Passeig de la Marina,,,,,,"LINESTRING (2.0253685 41.3143504, 2.025514 41.3142754)"
245491902,2281841757,0,22818685,residential,30,False,,True,14.899863996229314,,Passeig de la Marina,,,,,,"LINESTRING (2.0250509 41.3145566, 2.0251859 41.314469)"
245491902,9493831782,0,1232986978,residential,30,False,,False,17.503811962632316,,Passeig de la Marina,,,,,,"LINESTRING (2.0250509 41.3145566, 2.0249278 41.314684)"
245491904,9493823334,0,1113306549,residential,30,False,,False,15.66279428339351,,Passeig de la Marina,,,,,,"LINESTRING (2.0240239 41.3156193, 2.0238947 41.3157214)"
245491904,8346945915,0,1113306549,residential,30,False,,True,12.186354196950328,,Passeig de la Marina,,,,,,"LINESTRING (2.0240239 41.3156193, 2.0241096 41.3155306)"
245491906,9493823337,0,1113306549,residential,30,False,,False,53.85834938354441,,Passeig de la Marina,,,,,,"LINESTRING (2.0234473 41.3160748, 2.0229671 41.3163981)"
