osmid,y,x,street_count,highway,ref,geometry
1094077940,41.3141762,2.0114427,3,,,POINT (2.0114427 41.3141762)
1094237192,41.3149148,2.0098489,3,,,POINT (2.0098489 41.3149148)
1094237195,41.3139082,2.0110434,3,,,POINT (2.0110434 41.3139082)
1094237241,41.3144164,2.0080387,3,,,POINT (2.0080387 41.3144164)
1094237264,41.314499,2.0080404,3,,,POINT (2.0080404 41.314499)
1094237291,41.314349,2.0078237,3,,,POINT (2.0078237 41.314349)
1094237297,41.314541,2.008007,3,,,POINT (2.008007 41.314541)
1094296489,41.3150122,2.0078017,3,,,POINT (2.0078017 41.3150122)
1094296524,41.3178135,2.0037023,1,,,POINT (2.0037023 41.3178135)
1094296530,41.3173411,2.00303,3,,,POINT (2.00303 41.3173411)
1094296578,41.3118105,2.0149741,3,,,POINT (2.0149741 41.3118105)
1094296604,41.3116658,2.01495,3,,,POINT (2.01495 41.3116658)
1094296689,41.3108572,2.0158337,3,,,POINT (2.0158337 41.3108572)
1094296777,41.3131172,2.0069886,3,,,POINT (2.0069886 41.3131172)
1094296854,41.3133412,2.0066268,3,,,POINT (2.0066268 41.3133412)
1094360098,41.3138665,2.0147637,3,,,POINT (2.0147637 41.3138665)
1094360109,41.3138197,2.0148478,3,,,POINT (2.0148478 41.3138197)
1094360111,41.3137224,2.0148513,3,,,POINT (2.0148513 41.3137224)
1094360143,41.313681,2.0146668,3,,,POINT (2.0146668 41.313681)
1094360174,41.3140052,2.014548,3,crossing,,POINT (2.014548 41.3140052)
1094360224,41.3152228,2.0135917,3,,,POINT (2.0135917 41.3152228)
1094360277,41.3155375,2.0139951,3,,,POINT (2.0139951 41.3155375)
1094360283,41.3155073,2.0133621,3,,,POINT (2.0133621 41.3155073)
1094360316,41.315077,2.0129881,3,,,POINT (2.0129881 41.315077)
1094360320,41.3142644,2.0116318,3,,,POINT (2.0116318 41.3142644)
1094360355,41.315355,2.0130702,3,,,POINT (2.0130702 41.315355)
1094360371,41.3151695,2.0133477,4,,,POINT (2.0133477 41.3151695)
1094360498,41.3154323,2.0130461,4,,,POINT (2.0130461 41.3154323)
1094360531,41.3152719,2.0135846,3,,,POINT (2.0135846 41.3152719)
1094360537,41.3155209,2.0132649,3,,,POINT (2.0132649 41.3155209)
1094360581,41.3141526,2.0116012,3,,,POINT (2.0116012 41.3141526)
1094360592,41.3142966,2.0114854,3,,,POINT (2.0114854 41.3142966)
1095439352,41.3181955,2.0059286,3,,,POINT (2.0059286 41.3181955)
1095439366,41.3177171,2.0064197,3,,,POINT (2.0064197 41.3177171)
1095439377,41.3171491,2.0070249,4,,,POINT (2.0070249 41.3171491)
1095439387,41.3165735,2.0077636,4,,,POINT (2.0077636 41.3165735)
1095439392,41.3161405,2.0084416,3,,,POINT (2.0084416 41.3161405)
1095439401,41.3154799,2.008433,3,,,POINT (2.008433 41.3154799)
1095439435,41.3168032,2.0064518,3,,,POINT (2.0064518 41.3168032)
1095439448,41.3152159,2.0056685,3,,,POINT (2.0056685 41.3152159)
1095439470,41.3172937,2.0088309,3,,,POINT (2.0088309 41.3172937)
1095439489,41.3168051,2.0094249,3,,,POINT (2.0094249 41.3168051)
1095439501,41.3173882,2.0090056,3,,,POINT (2.0090056 41.3173882)
1095439505,41.3188367,2.0112174,4,,,POINT (2.0112174 41.3188367)
1095439556,41.317787,2.0083691,3,,,POINT (2.0083691 41.317787)
1095439603,41.3178279,2.0082247,3,,,POINT (2.0082247 41.3178279)
1095439629,41.3185903,2.0077998,3,,,POINT (2.0077998 41.3185903)
1095439659,41.3186031,2.0076598,3,,,POINT (2.0076598 41.3186031)
