osmid,y,x,street_count,highway,ref,geometry
9490925632,41.3190433,2.0211411,2,crossing,,POINT (2.0211411 41.3190433)
9490925633,41.3190647,2.0213241,2,crossing,,POINT (2.0213241 41.3190647)
9490925634,41.3190896,2.0213571,2,traffic_signals,,POINT (2.0213571 41.3190896)
9490925635,41.3193694,2.021727,2,crossing,,POINT (2.021727 41.3193694)
9490925636,41.3194503,2.0218387,2,,,POINT (2.0218387 41.3194503)
9490925637,41.3201972,2.0229243,2,crossing,,POINT (2.0229243 41.3201972)
9490925638,41.3201905,2.0228129,2,crossing,,POINT (2.0228129 41.3201905)
9490925639,41.3203304,2.022998,2,crossing,,POINT (2.022998 41.3203304)
9490925640,41.3207314,2.0235283,2,crossing,,POINT (2.0235283 41.3207314)
9490925642,41.3208107,2.0236332,2,,,POINT (2.0236332 41.3208107)
9490925644,41.3212032,2.0241706,2,crossing,,POINT (2.0241706 41.3212032)
9490925645,41.3207187,2.024803,2,crossing,,POINT (2.024803 41.3207187)
9490925646,41.320793,2.0249007,2,crossing,,POINT (2.0249007 41.320793)
9490925647,41.3206481,2.0247908,2,crossing,,POINT (2.0247908 41.3206481)
9490925648,41.3205885,2.0248758,2,crossing,,POINT (2.0248758 41.3205885)
9490925649,41.3205843,2.0249653,2,crossing,,POINT (2.0249653 41.3205843)
9490925650,41.3206411,2.0250619,2,crossing,,POINT (2.0250619 41.3206411)
9490925651,41.3201729,2.0254156,2,traffic_signals,,POINT (2.0254156 41.3201729)
9490925652,41.3202149,2.0255408,2,crossing,,POINT (2.0255408 41.3202149)
9490925653,41.3201571,2.0254329,2,crossing,,POINT (2.0254329 41.3201571)
9490925655,41.3201551,2.0260806,2,crossing,,POINT (2.0260806 41.3201551)
9490925656,41.3201861,2.0261197,2,traffic_signals,,POINT (2.0261197 41.3201861)
9490925657,41.3208938,2.0270467,2,,,POINT (2.0270467 41.3208938)
9490925658,41.320951,2.0271194,2,,,POINT (2.0271194 41.320951)
9490925659,41.3212728,2.0275456,2,traffic_signals,,POINT (2.0275456 41.3212728)
9490925660,41.3212886,2.0275687,2,,,POINT (2.0275687 41.3212886)
9490955823,41.32453,2.0164977,2,crossing,,POINT (2.0164977 41.32453)
9490955824,41.3245649,2.0163181,2,crossing,,POINT (2.0163181 41.3245649)
9490955825,41.3247199,2.0164194,2,crossing,,POINT (2.0164194 41.3247199)
9490955826,41.3244769,2.0165221,2,,,POINT (2.0165221 41.3244769)
9490955827,41.324691,2.01643,2,,,POINT (2.01643 41.324691)
9490955828,41.3237414,2.0168534,2,crossing,,POINT (2.0168534 41.3237414)
9490955829,41.3232035,2.0174456,2,crossing,,POINT (2.0174456 41.3232035)
9490955830,41.3229948,2.0169923,2,crossing,,POINT (2.0169923 41.3229948)
9490955831,41.3232896,2.0170702,2,crossing,,POINT (2.0170702 41.3232896)
9490955832,41.3231786,2.0173952,2,,,POINT (2.0173952 41.3231786)
9490955833,41.3232278,2.017115,2,,,POINT (2.017115 41.3232278)
9490955847,41.3229444,2.0173351,2,,,POINT (2.0173351 41.3229444)
9490955848,41.3227111,2.0176504,2,,,POINT (2.0176504 41.3227111)
9490955849,41.3222869,2.0186476,2,,,POINT (2.0186476 41.3222869)
9490955850,41.3221972,2.0188341,2,crossing,,POINT (2.0188341 41.3221972)
9490955851,41.3221621,2.0186401,2,crossing,,POINT (2.0186401 41.3221621)
