u,v,key,osmid,highway,oneway,reversed,length,lanes,name,width,bridge,access,maxspeed,geometry
1763262439,11333513363,0,1222056728,cycleway,True,False,4.900108944440275,1,Carretera de Barcelona,1,,,,"LINESTRING (2.0258516 41.3197839, 2.0259092 41.3197923)"
2142861584,7833896061,0,204276837,cycleway,False,False,58.71804864629436,,Avinguda de la Torre-roja,9,,,,"LINESTRING (2.0216343 41.321187, 2.0221284 41.3208113)"
2142861584,2195497119,0,204276837,cycleway,False,True,54.581898415509905,,Avinguda de la Torre-roja,9,,,,"LINESTRING (2.0216343 41.321187, 2.0211759 41.3215369)"
2142861651,7833896073,0,204276837,cycleway,False,False,5.721930929239716,,Avinguda de la Torre-roja,9,,,,"LINESTRING (2.0184692 41.3235932, 2.0185175 41.3235567)"
2187128539,11394245014,0,1228659163,cycleway,False,False,2.8245576510444343,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.015253 41.3239257)"
2187128539,11394245013,0,1228659163,cycleway,False,True,2.9448136328659955,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.0152166 41.3239698)"
2195497119,2142861584,0,204276837,cycleway,False,False,54.581898415509905,,Avinguda de la Torre-roja,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0216343 41.321187)"
2195497119,1676387274,0,204276837,cycleway,False,True,106.17939270559712,,Avinguda de la Torre-roja,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0202842 41.3222176)"
2209582609,2209582610,0,210931272,cycleway,False,False,1.0279501309217958,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673321 41.286927)"
2209582609,2209582611,0,210931272,cycleway,False,True,0.9701185734492969,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673556 41.2869291)"
2209582610,2209582612,0,210931272,cycleway,False,False,0.9894321178340258,,,,,,,"LINESTRING (2.0673321 41.286927, 2.067321 41.2869301)"
2209582610,2209582609,0,210931272,cycleway,False,True,1.0279501309217958,,,,,,,"LINESTRING (2.0673321 41.286927, 2.0673444 41.2869268)"
2209582611,2209582609,0,210931272,cycleway,False,False,0.9701185734492969,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673444 41.2869268)"
2209582611,2209582615,0,210931272,cycleway,False,True,0.9565189195838095,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673651 41.2869339)"
2209582612,2209582720,0,210931272,cycleway,False,False,102.61685640747697,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0662961 41.2874386)"
2209582612,2209582610,0,210931272,cycleway,False,True,0.9894321178340258,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0673321 41.286927)"
2209582615,2209582611,0,210931272,cycleway,False,False,0.9565189195838095,,,,,,,"LINESTRING (2.0673651 41.2869339, 2.0673556 41.2869291)"
2209582720,2209582935,0,210931272,cycleway,False,False,167.76284890017533,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.0646075 41.2882549)"
2209582720,2209582612,0,210931272,cycleway,False,True,102.61685640747697,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.067321 41.2869301)"
