u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,bridge,access,service
6315715546,7833168263,0,"[1227695473, 1227695471]",cycleway,,,False,True,6.342815800944663,,,"LINESTRING (2.0177752 41.3051217, 2.017749 41.3051459, 2.0177272 41.3051659)",,,,,
6315715552,7833168263,0,"[1227695472, 898111672]",cycleway,,,False,False,5.816151465402857,,,"LINESTRING (2.0176833 41.3052065, 2.0177045 41.3051869, 2.0177272 41.3051659)",,,,,
6640642462,8346947737,0,"[1029860978, 804466941, 804466942]",cycleway,,,False,True,65.93925909694528,,,"LINESTRING (2.0220066 41.3176961, 2.0220445 41.317704, 2.0221048 41.317711, 2.0222239 41.3173135, 2.0223489 41.3172558)",,,,,
6640642462,1130841552,0,97675053,tertiary,30,Avinguda de Francesc Macià,True,False,159.843743811344,,,"LINESTRING (2.0220066 41.3176961, 2.0219489 41.317884, 2.0219133 41.3179764, 2.0217008 41.3184443, 2.0216498 41.3185245, 2.0215755 41.3186287, 2.0214975 41.3187336, 2.0214124 41.3188144, 2.0212142 41.3189816)",,,,,
6640642467,8346947719,0,"[1228659168, 706682145, 1228659169, 1228659172, 804471847, 1228659167]",cycleway,,,False,"[False, True]",410.67317068011164,,,"LINESTRING (2.0210602 41.3188532, 2.0210299 41.3188943, 2.0208722 41.3190339, 2.0207427 41.3191497, 2.0206281 41.3192534, 2.0204808 41.3193682, 2.0204551 41.3193749, 2.0203224 41.3194734, 2.0202985 41.3194947, 2.020277 41.3195136, 2.0202539 41.3195339, 2.0202148 41.3195613, 2.0201623 41.3196024, 2.0198414 41.319853, 2.0196236 41.3200116, 2.019148 41.3203578, 2.0190669 41.3204034, 2.0190087 41.3204211, 2.0188733 41.3204523, 2.0186974 41.3204727, 2.0183456 41.320814, 2.0183274 41.3208322, 2.0183035 41.3208561, 2.0182411 41.3209111, 2.0176305 41.3214239)",,,,,
6640642467,10922264953,0,706682145,cycleway,,,False,True,112.06564875998572,,,"LINESTRING (2.0210602 41.3188532, 2.0211491 41.3187854, 2.021281 41.3186565, 2.0213879 41.3185432, 2.021465 41.3184442, 2.0215386 41.3183539, 2.0215495 41.318342, 2.0217844 41.3180097)",,,,,
6640642467,1130841542,0,97733818,residential,30,Carrer de Pompeu Fabra,True,False,10.246248478117346,,,"LINESTRING (2.0210602 41.3188532, 2.0210437 41.3188419, 2.0209698 41.3187909)",1,,,,
7232459528,7833220370,0,"[680290112, 1227696142, 1227696143, 1107267316, 775212153, 680290111]",cycleway,,,False,"[False, True]",125.80840226802512,,,"LINESTRING (2.0263826 41.3083086, 2.0263688 41.3083314, 2.0263443 41.3083721, 2.0263413 41.3083769, 2.0263244 41.3084005, 2.0258119 41.3090056, 2.0257122 41.3091086, 2.0256845 41.3091372, 2.0257099 41.3091523, 2.0257291 41.3091636, 2.0257596 41.3091817, 2.0257911 41.3092003, 2.025841 41.3092299)",,,yes,,
7232459528,7833220378,0,"[839429961, 939689282, 680290110, 680290111]",cycleway,,,False,True,516.5065875039958,,,"LINESTRING (2.0263826 41.3083086, 2.0264205 41.3082398, 2.026446 41.3081986, 2.026515 41.3082222, 2.0265384 41.3082243, 2.0265613 41.308223, 2.0265843 41.3082184, 2.0266051 41.3082115, 2.0266215 41.3082043, 2.026634 41.3081943, 2.0266655 41.3081576, 2.0267008 41.3081165, 2.027183 41.3075428, 2.0272326 41.3074803, 2.0272384 41.3074429, 2.0272322 41.3074074, 2.0272152 41.3073727, 2.0272115 41.3073345, 2.0272135 41.3072986, 2.0272687 41.3071706, 2.0272433 41.3071386, 2.0272908 41.3071175, 2.0273787 41.3070784, 2.027421 41.3070573, 2.027366 41.3069907, 2.0271466 41.306696, 2.0268801 41.3063391, 2.0266301 41.3060382, 2.0263578 41.3057098, 2.0261992 41.3055238, 2.0259137 41.3051951, 2.0257001 41.3049567, 2.0252798 41.3045111)",,,,,
7232459528,9450394829,0,775212181,cycleway,,,False,False,757.0858666562891,,,"LINESTRING (2.0263826 41.3083086, 2.0263183 41.3082857, 2.025723 41.3080732, 2.0248819 41.3077854, 2.0243657 41.3076106, 2.0230312 41.3071586, 2.0226419 41.3070268, 2.0225682 41.3070018, 2.0212503 41.3065413, 2.0211373 41.3065018, 2.0204828 41.3062728, 2.0204556 41.3062633, 2.0200701 41.3061283, 2.0199658 41.3060918, 2.0190867 41.3057955, 2.018145 41.3054688)",2,,,,
