u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,access,bridge,tunnel,geometry
1666976870,1666976890,0,154103188,cycleway,,,,False,False,19.38588139720136,,,,,,,"LINESTRING (2.0062242 41.3075966, 2.0063674 41.3074594)"
1666976870,1666976872,0,154103188,cycleway,,,,False,True,52.640942376012305,,,,,,,"LINESTRING (2.0062242 41.3075966, 2.0059023 41.3080036)"
1666976872,1666976870,0,154103188,cycleway,,,,False,False,52.640942376012305,,,,,,,"LINESTRING (2.0059023 41.3080036, 2.0062242 41.3075966)"
1666976872,1567770481,0,154103188,cycleway,,,,False,True,5.247877422627107,,,,,,,"LINESTRING (2.0059023 41.3080036, 2.0058461 41.3079825)"
1666976877,1666976860,0,154103188,cycleway,,,,False,False,33.870422953173964,,,,,,,"LINESTRING (2.0074741 41.3066496, 2.0078389 41.3065166)"
1666976877,1666976862,0,154103188,cycleway,,,,False,True,84.78182830849329,,,,,,,"LINESTRING (2.0074741 41.3066496, 2.0067215 41.3071612)"
1666976890,1666976862,0,154103188,cycleway,,,,False,False,44.43289519912016,,,,,,,"LINESTRING (2.0063674 41.3074594, 2.0067215 41.3071612)"
1666976890,1666976870,0,154103188,cycleway,,,,False,True,19.38588139720136,,,,,,,"LINESTRING (2.0063674 41.3074594, 2.0062242 41.3075966)"
1666976894,9766954692,0,154103188,cycleway,,,,False,False,4.7512532651284225,,,,,,,"LINESTRING (2.0110897 41.3066335, 2.0111447 41.3066226)"
1666976894,576359605,0,154103188,cycleway,,,,False,True,62.291811385861955,,,,,,,"LINESTRING (2.0110897 41.3066335, 2.0103452 41.306601)"
1676387266,1676387274,0,204276837,cycleway,,,,False,False,90.88192451110716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0195193 41.322799, 2.0202842 41.3222176)"
1676387266,7833896073,0,204276837,cycleway,,,,False,True,118.73105306146286,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0195193 41.322799, 2.0185175 41.3235567)"
1676387274,2195497119,0,204276837,cycleway,,,,False,False,106.17939270559712,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0202842 41.3222176, 2.0211759 41.3215369)"
1676387274,1676387266,0,204276837,cycleway,,,,False,True,90.88192451110716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0202842 41.3222176, 2.0195193 41.322799)"
1693128073,7524554143,0,804466943,cycleway,,,,False,False,19.595751436575554,Passeig de la Marina,,,,,,"LINESTRING (2.0241768 41.315727, 2.0240089 41.3158501)"
1693128073,7524554163,0,804466943,cycleway,,,,False,True,12.671419044467065,Passeig de la Marina,,,,,,"LINESTRING (2.0241768 41.315727, 2.0242575 41.3156305)"
1693128073,245491904,0,34888158,residential,,,,True,False,17.506666084413364,Carrer de Guifré el Pelós,,,,,,"LINESTRING (2.0241768 41.315727, 2.0240239 41.3156193)"
1693797759,7524446181,0,804452579,cycleway,,,,False,False,19.181761751468137,,1,,,,,"LINESTRING (2.0114772 41.3089998, 2.0114005 41.3088372)"
1693797759,246182751,0,22887544,residential,,,,True,False,13.412355612382557,Avinguda del Doctor Fleming,,,,,,"LINESTRING (2.0114772 41.3089998, 2.0115801 41.3089072)"
1693797759,1107469792,0,22921471,residential,,50,,True,False,52.56248750432599,Avinguda de Gavà,1,,yes,,,"LINESTRING (2.0114772 41.3089998, 2.0110374 41.3086617)"
1763262439,11333513363,0,1222056728,cycleway,,,,True,False,4.900108944440275,Carretera de Barcelona,1,1,,,,"LINESTRING (2.0258516 41.3197839, 2.0259092 41.3197923)"
1763262439,4558538601,0,97535998,residential,,,,True,False,5.973629922188658,Carretera de Barcelona,,,,,,"LINESTRING (2.0258516 41.3197839, 2.0259182 41.3198035)"
2142861584,7833896061,0,204276837,cycleway,,,,False,False,58.71804864629436,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0216343 41.321187, 2.0221284 41.3208113)"
2142861584,2195497119,0,204276837,cycleway,,,,False,True,54.581898415509905,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0216343 41.321187, 2.0211759 41.3215369)"
2142861651,7833896073,0,204276837,cycleway,,,,False,False,5.721930929239716,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0184692 41.3235932, 2.0185175 41.3235567)"
2142861651,2142862077,0,204276818,residential,roundabout,,,True,False,4.332186236054337,Plaça dels Voluntaris Olímpics,,,,,,"LINESTRING (2.0184692 41.3235932, 2.0184986 41.3236253)"
2187128539,11394245014,0,1228659163,cycleway,,,,False,False,2.8245576510444343,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.015253 41.3239257)"
2187128539,11394245013,0,1228659163,cycleway,,,,False,True,2.9448136328659955,,,,,,,"LINESTRING (2.0152352 41.3239473, 2.0152166 41.3239698)"
2187128539,5971977781,0,208418592,residential,,,,True,False,2.1516560770980666,Carrer de la Franja de Ponent,,,,yes,,"LINESTRING (2.0152352 41.3239473, 2.0152152 41.3239351)"
2195497119,2142861584,0,204276837,cycleway,,,,False,False,54.581898415509905,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0216343 41.321187)"
2195497119,1676387274,0,204276837,cycleway,,,,False,True,106.17939270559712,Avinguda de la Torre-roja,,9,,,,"LINESTRING (2.0211759 41.3215369, 2.0202842 41.3222176)"
2209582609,2209582610,0,210931272,cycleway,,,,False,False,1.0279501309217958,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673321 41.286927)"
2209582609,2209582611,0,210931272,cycleway,,,,False,True,0.9701185734492969,,,,,,,"LINESTRING (2.0673444 41.2869268, 2.0673556 41.2869291)"
2209582610,2209582612,0,210931272,cycleway,,,,False,False,0.9894321178340258,,,,,,,"LINESTRING (2.0673321 41.286927, 2.067321 41.2869301)"
2209582610,2209582609,0,210931272,cycleway,,,,False,True,1.0279501309217958,,,,,,,"LINESTRING (2.0673321 41.286927, 2.0673444 41.2869268)"
2209582611,2209582609,0,210931272,cycleway,,,,False,False,0.9701185734492969,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673444 41.2869268)"
2209582611,2209582615,0,210931272,cycleway,,,,False,True,0.9565189195838095,,,,,,,"LINESTRING (2.0673556 41.2869291, 2.0673651 41.2869339)"
2209582612,2209582720,0,210931272,cycleway,,,,False,False,102.61685640747697,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0662961 41.2874386)"
2209582612,2209582610,0,210931272,cycleway,,,,False,True,0.9894321178340258,,,,,,,"LINESTRING (2.067321 41.2869301, 2.0673321 41.286927)"
2209582615,2209582611,0,210931272,cycleway,,,,False,False,0.9565189195838095,,,,,,,"LINESTRING (2.0673651 41.2869339, 2.0673556 41.2869291)"
2209582720,2209582935,0,210931272,cycleway,,,,False,False,167.76284890017533,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.0646075 41.2882549)"
2209582720,2209582612,0,210931272,cycleway,,,,False,True,102.61685640747697,,,,,,,"LINESTRING (2.0662961 41.2874386, 2.067321 41.2869301)"
2209582935,2209582967,0,210931272,cycleway,,,,False,False,32.052789667083275,,,,,,,"LINESTRING (2.0646075 41.2882549, 2.0642738 41.2883971)"
